fecha,empresa,localidad,provincia,insumo,cupo_total_asignado_m3,produccion__m3,ventas_totales__m3,ventas_a_axion_m3,ventas_a_petrobras_m3,ventas_a_fox_petrol_m3,ventas_a_refineria_del_norte_m3,ventas_a_shell_m3,ventas_a_ypf_m3,ventas_a_energia_derivada_del_petroleo_m3,ventas_a_oil_combustibles_m3,ventas_a_trafigura_oil_m3
4/1/2012,BIOTRINIDAD S.A.,VILLA LA TRINIDAD,TUCUMÁN,CAÑA DE AZÚCAR,1400,0,1147.946936,0,0,0,0,0,1147.95,0,0,0
4/1/2012,COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.,LA FLORIDA,TUCUMÁN,CAÑA DE AZÚCAR,3000,2318.243841,2246.114972,104.55,0,0,476.11,0,1479.68,0,185.77,0
4/1/2012,ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.,AGUILARES,TUCUMÁN,CAÑA DE AZÚCAR,2090,1778.900821,1897.662666,1154.77,0,0,0,481.36,0,0,261.53,0
4/1/2012,RÍO GRANDE ENERGÍA S.A.,LA MENDIETA,JUJUY,CAÑA DE AZÚCAR,800,0,855.5906507,0,0,0,0,292.58,563.01,0,0,0
5/1/2012,ALCONOA S.R.L.,EL TABACAL,SALTA,CAÑA DE AZÚCAR,3500,2408.995578,3576.993051,301,0,0,0,1407,1869,0,0,0
5/1/2012,BIO SAN ISIDRO S.A.,CAMPO SANTO,SALTA,CAÑA DE AZÚCAR,300,0,0,0,0,0,0,0,0,0,0,0
5/1/2012,BIOENERGÍA LA CORONA S.A.,CONCEPCIÓN,TUCUMÁN,CAÑA DE AZÚCAR,670,0,699.3051169,0,0,0,0,0,699.3,0,0,0
5/1/2012,BIOENERGÍA SANTA ROSA S.A.,LEÓN ROUGES,TUCUMÁN,CAÑA DE AZÚCAR,1200,134.2387871,1282.804801,723.65,559.15,0,0,0,0,0,0,0
5/1/2012,BIOLEDESMA S.A.,LEDESMA,JUJUY,CAÑA DE AZÚCAR,4083,3636.373973,4093.35439,622.53,0,0,0,693.48,2115.99,139.1,522.25,0
5/1/2012,BIOTRINIDAD S.A.,VILLA LA TRINIDAD,TUCUMÁN,CAÑA DE AZÚCAR,1400,252.5078964,291.6487682,0,0,0,0,0,291.66,0,0,0
5/1/2012,COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.,LA FLORIDA,TUCUMÁN,CAÑA DE AZÚCAR,2000,1214.51674,1213.594441,0,36.09,0,417.34,0,721.84,0,38.32,0
