ID Sitio,Traza,Sub-Traza,Localidad,Departamento,Provincia,Poblacion Censo 2010,Lat_sitio,Lon_sitio,Fecha Real de Conexión,Estado
3557,SANTA ISABEL - NEUQUEN,BARDA DEL MEDIO - SARGENTO VIDAL,Villa San Isidro,General Roca,Rio Negro,607,-38.7063027,-68.1717083,26/10/17,Conectado
370,SANTA ISABEL - NEUQUEN,BARDA DEL MEDIO - NEUQUEN 1G,Barda del Medio,General Roca,Rio Negro,1651,-38.7241222222,-68.1630111111,28/09/17,Conectado
3603,SANTA ISABEL - NEUQUEN,BARDA DEL MEDIO - NEUQUEN 1G,Vista Alegre Norte,Confluencia,Neuquen,895,-38.7309805,-68.1739305,31/07/17,Conectado
332,BAHIA BLANCA - SAN ANTONIO OESTE,BAHIA BLANCA - CARMEN de PATAGONES 10G,Bahia Blanca EDT,Bahia Blanca,Buenos Aires,291327,-38.7512416667,-62.2829722222,04/12/15,Conectado
2228,BUTA  RANQUIL - ZAPALA,CHOS MALAL - ZAPALA,Mariano Moreno,Zapala,Neuquen,2205,-38.7597059,-70.036807,26/10/17,Conectado
3604,SANTA ISABEL - NEUQUEN,BARDA DEL MEDIO - NEUQUEN 1G,Vista Alegre Sur,Confluencia,Neuquen,1513,-38.771625,-68.1347694,31/07/17,Conectado
729,SANTA ISABEL - NEUQUEN,BARDA DEL MEDIO - NEUQUEN 10G,Centenario,Confluencia,Neuquen,32928,-38.8325083333,-68.1281583333,19/01/18,Conectado
3636,ARROYITO - ZAPALA,NEUQUEN - ZAPALA 1G,Zapala,Zapala,Neuquen,32097,-38.89735,-70.066825,13/12/16,Conectado
2572,ARROYITO - ZAPALA,NEUQUEN - ZAPALA 10G,Plaza Huincul,Confluencia,Neuquen,13172,-38.9307194444,-69.21265,31/03/17,Conectado
2359,SANTA ISABEL - NEUQUEN,BARDA DEL MEDIO - NEUQUEN 1G,Neuquen,Confluencia,Neuquen,231198,-38.9448583333,-68.0785944444,17/05/16,Conectado
1711,RIO COLORADO - SANTA ROSA,RIO COLORADO - SANTA ROSA,La Adela,Caleu Caleu,La Pampa,1904,-38.9776305,-64.1006861,27/07/17,Conectado
2784,RIO COLORADO - SANTA ROSA,RIO COLORADO - SANTA ROSA,Rio Colorado,Pichi Mahuida,Rio Negro,11733,-38.983275,-64.1039472222,16/11/15,Conectado
891,SAN ANTONIO OESTE - RIO COLORADO,RIO COLORADO - COLONIA JULIA Y ECHARREN,Colonia Julia Y Echarren,Pichi Mahuida,Rio Negro,936,-39.0353527778,-64.0258027778,14/09/17,Conectado
