yacimiento,provincia,mineraliza,geojson,geom
LA AMISTAD,SALTA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-67.8933141631865,-25.3240654376532]}",0101000020E610000020FC2A0F2CF950C0087CD8F3F55239C0
MARGARITA; ZORROQUIN,SALTA,COBRE,"{""type"":""Point"",""coordinates"":[-65.6831358523854,-26.1044147877548]}",0101000020E61000001B2E707FB86B50C020A072EDBA1A3AC0
LOS CARDONES,SALTA,COBRE,"{""type"":""Point"",""coordinates"":[-66.3772118935763,-26.1115360034502]}",0101000020E6100000A0A45A3D249850C036259F9F8D1C3AC0
BANDI,SALTA,COBRE,"{""type"":""Point"",""coordinates"":[-65.0281160213077,-26.2016463298768]}",0101000020E6100000AA0024A7CC4150C0E02D08189F333AC0
LA VIEJA,SALTA,COBRE,"{""type"":""Point"",""coordinates"":[-65.9835565400489,-26.3347927416302]}",0101000020E6100000BB512197F27E50C0683D24FAB4553AC0
BENITO; FENIX,CATAMARCA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-67.8803172927336,-26.3153451978781]}",0101000020E61000003699571E57F850C04AD67F76BA503AC0
ANDREA; CARMEN; ESPERANZA,TUCUMAN,MANGANESO,"{""type"":""Point"",""coordinates"":[-65.0182052073645,-26.5338426628393]}",0101000020E6100000D88F2C462A4150C0AE1AAAE9A9883AC0
LOS ARRAYANES;FARALLON BCO,TUCUMAN,ORO,"{""type"":""Point"",""coordinates"":[-64.9352024183351,-26.6618485213539]}",0101000020E6100000EA783E5BDA3B50C0EA1E9AE76EA93AC0
AGUAS CHIQUITAS; LA CASUALIDAD,TUCUMAN,MANGANESO,"{""type"":""Point"",""coordinates"":[-65.0695952879642,-26.7718278502801]}",0101000020E6100000C170CB3F744450C04A188F8296C53AC0
GRUPO LA HOYADA,CATAMARCA,COBRE,"{""type"":""Point"",""coordinates"":[-67.825958246751,-26.9917924197667]}",0101000020E61000000F6AFA7FDCF450C09251A71BE6FD3AC0
GRUPO LA HOYADA,CATAMARCA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-67.7949408398837,-27.0044236250677]}",0101000020E61000008C638B4FE0F250C0E8FE1CE821013BC0
DIST MINERO CULAMPAJA,CATAMARCA,ORO,"{""type"":""Point"",""coordinates"":[-66.9855547861414,-27.0545935239864]}",0101000020E610000034B9615413BF50C0521858D7F90D3BC0
ITURRALDE PADRE; LA ESPA¥OLA,CATAMARCA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-66.850258904198,-27.1798167355197]}",0101000020E61000006FAA52A46AB650C09A543678082E3BC0
FARALLON NEGRO,CATAMARCA,MANGANESO,"{""type"":""Point"",""coordinates"":[-66.6636804926271,-27.4015844349729]}",0101000020E6100000E8B4BEBD79AA50C082CACE3CCE663BC0
LA MORENITA,CATAMARCA,MANGANESO,"{""type"":""Point"",""coordinates"":[-66.2659750989038,-27.4494482461654]}",0101000020E6100000E7D56BBC059150C05E864E0A0F733BC0
FARALLON NEGRO,CATAMARCA,ORO,"{""type"":""Point"",""coordinates"":[-66.654183493077,-27.439900488101]}",0101000020E61000004F167124DEA950C060E381519D703BC0
LOS ANGELES; SN JAVIER,CATAMARCA,ORO,"{""type"":""Point"",""coordinates"":[-66.4119904451923,-27.4473027306547]}",0101000020E610000065172C0D5E9A50C0D092876E82723BC0
AGUA RICA; MI VIDA,CATAMARCA,COBRE,"{""type"":""Point"",""coordinates"":[-66.3166286510387,-27.4639371927019]}",0101000020E6100000034CD1A4439450C0820D7E96C4763BC0
EL VASQUITO; LA PILARICA,CATAMARCA,MANGANESO,"{""type"":""Point"",""coordinates"":[-66.966039707065,-27.6672871958481]}",0101000020E6100000D31E3598D3BD50C00A356B55D3AA3BC0
,CATAMARCA,ESTANO,"{""type"":""Point"",""coordinates"":[-67.3618406780277,-27.7407795312634]}",0101000020E6100000769FCD6528D750C08C5234BAA3BD3BC0
FIAMBALA; SN ANTONIO,CATAMARCA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-67.5368974572644,-27.7776704320839]}",0101000020E6100000621027875CE250C0CADDD06815C73BC0
,CATAMARCA,ESTANO,"{""type"":""Point"",""coordinates"":[-67.402751041626,-27.7861126534006]}",0101000020E6100000AC0D4EACC6D950C0D053C9AD3EC93BC0
,CATAMARCA,ESTANO,"{""type"":""Point"",""coordinates"":[-67.2767301060217,-27.7907269488872]}",0101000020E6100000A1CB30F2B5D150C04E89D1146DCA3BC0
,CATAMARCA,ESTANO,"{""type"":""Point"",""coordinates"":[-67.4120120854324,-27.8268919825694]}",0101000020E6100000481FF0675EDA50C0CA756631AFD33BC0
CRISTINA; SUERTE,CATAMARCA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-67.9838044038417,-27.8507163575783]}",0101000020E61000004C0ABFA6F6FE50C096F8158CC8D93BC0
LA DESC DE LOS APAREJOS,CATAMARCA,COBRE,"{""type"":""Point"",""coordinates"":[-68.4469734814372,-27.8366843803644]}",0101000020E6100000F13CA9369B1C51C02CBD92F230D63BC0
POZO PIRCADO,CATAMARCA,COBRE,"{""type"":""Point"",""coordinates"":[-67.5514392415795,-27.8741604514295]}",0101000020E61000002C14D1C74AE350C0A258B6FAC8DF3BC0
,CATAMARCA,ESTANO,"{""type"":""Point"",""coordinates"":[-67.3914965743871,-27.931689539897]}",0101000020E610000047DFA5470ED950C010E2A73483EE3BC0
,CATAMARCA,ESTANO,"{""type"":""Point"",""coordinates"":[-67.4824498386938,-27.944004513539]}",0101000020E61000009CC94975E0DE50C02EEDA047AAF13BC0
LA TOTORITA,CATAMARCA,URANIO,"{""type"":""Point"",""coordinates"":[-67.7922873723019,-28.11284480173]}",0101000020E6100000804418D6B4F250C034F49C65E31C3CC0
EL ESPIADERO,CATAMARCA,COBRE,"{""type"":""Point"",""coordinates"":[-68.0180857258679,-28.2123247217975]}",0101000020E610000021480851280151C0AC40B8E95A363CC0
LAS HIGUERITAS,CATAMARCA,URANIO,"{""type"":""Point"",""coordinates"":[-67.7029408697821,-28.2283232754708]}",0101000020E610000017AFB3FBFCEC50C00A10E964733A3CC0
CATITA I-II-III; ESTRELLA I,LA RIOJA,ORO,"{""type"":""Point"",""coordinates"":[-68.3744209939328,-28.2505433348863]}",0101000020E610000027F87883F61751C04691A59B23403CC0
LA LAGUNITA,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.1375773226684,-28.2756016717993]}",0101000020E610000010621D11CE0851C0DE19C7D48D463CC0
BONANZA,CATAMARCA,URANIO,"{""type"":""Point"",""coordinates"":[-67.6728898520247,-28.2972427172237]}",0101000020E6100000661099A010EB50C03A734519184C3CC0
LA ARAGONESA,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-68.1010160260313,-28.2843562516355]}",0101000020E6100000460BEC0B770651C008304192CB483CC0
LA ALUMBRERA RIOJANA,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-67.9940406430544,-28.3144174210958]}",0101000020E61000000F34A55C9EFF50C022E6FCA87D503CC0
LA PAMPITA,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.3626970817847,-28.3043923903031]}",0101000020E6100000B027D26D361751C0C680E1A8EC4D3CC0
ALUMBRERA OESTE; PONCHO,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.459550218164,-28.4375761065067]}",0101000020E610000095785145691D51C014F5DAFC04703CC0
ANDACOLLO,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-67.869852212123,-28.4744097256304]}",0101000020E6100000FEDA9CA8ABF750C0A87C70EA72793CC0
SANTA LUCIA,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-67.9813878093262,-28.4934679780789]}",0101000020E6100000F06FD00ECFFE50C0D678DBEA537E3CC0
MARTA III,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-68.6268044149028,-28.5331711044365]}",0101000020E6100000BFBF43901D2851C026BAC8E67D883CC0
MARIA JOSEFINA; M LUISA,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-68.6376135118531,-28.5693074972704]}",0101000020E61000006439E7A8CE2851C0CE24DA22BE913CC0
MAL PASO I-II,LA RIOJA,ORO,"{""type"":""Point"",""coordinates"":[-67.8305208867858,-28.6568446116453]}",0101000020E6100000F4D8134127F550C00C92EDF726A83CC0
VIRGEN DEL CARMEN,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-68.5196052459946,-28.6594446706701]}",0101000020E61000001D985C36412151C0A80CAE5DD1A83CC0
RUISE¥OR,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-68.8034246379172,-28.6528280639147]}",0101000020E6100000EA292C4F6B3351C0C06C70BD1FA73CC0
SOTRAM,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-67.8842258410231,-28.72581945968]}",0101000020E6100000375EFB2797F850C04E20DA4DCFB93CC0
CERRO GALLEGO I,LA RIOJA,MANGANESO,"{""type"":""Point"",""coordinates"":[-67.0721142385317,-28.7580326678335]}",0101000020E610000075040A859DC450C004A5CD6D0EC23CC0
SANTA MARIA,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-68.7382395958646,-28.7231604270081]}",0101000020E610000071364A513F2F51C0D2C2AF0A21B93CC0
MOGOTE RIO BLANCO,LA RIOJA,ORO,"{""type"":""Point"",""coordinates"":[-67.7273391013909,-28.8064859301092]}",0101000020E6100000DC644DB98CEE50C0DC80A6DC75CE3CC0
AUSTRALIA; BELLA VISTA,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-67.7552974210314,-28.811611928497]}",0101000020E61000004D85FECA56F050C02CF0A1CCC5CF3CC0
LA CUESTA; YARETA,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-68.7561211681057,-28.7977505121218]}",0101000020E6100000F4340A4A643051C032EEA76039CC3CC0
RUISE¥OR,LA RIOJA,COBRE,"{""type"":""Point"",""coordinates"":[-68.5767170138585,-28.834196654202]}",0101000020E61000006A647AEEE82451C0F83A74E98DD53CC0
LA NEGRA,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.4912179777595,-28.8094156137022]}",0101000020E6100000CB6B871D705F51C00EB995DC35CF3CC0
LOS PIRATAS; LA UNION,CATAMARCA,MANGANESO,"{""type"":""Point"",""coordinates"":[-66.2391580508204,-28.9333002885611]}",0101000020E610000052B6915D4E8F50C0AAB788C4ECEE3CC0
LA AZUL,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.4584843011783,-28.8235887158937]}",0101000020E610000092D289CE575D51C0301EC8B5D6D23CC0
SALTO NEGRO; EL TOCINO,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-67.8935303251482,-28.904667084531]}",0101000020E6100000BC1FD1992FF950C012D4154398E73CC0
TRAMPASACHA,CATAMARCA,MANGANESO,"{""type"":""Point"",""coordinates"":[-66.2968875844568,-28.9569178990682]}",0101000020E61000002275C834009350C06A744992F8F43CC0
JOSEFINA,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.4845067237023,-28.8541061004335]}",0101000020E6100000983F7D28025F51C014AD88B2A6DA3CC0
